pocket_id,receptor_id,ligand_id,mechanistic_class,classification_confidence,A1_ppi_interface,A2_druggability,A3_perturbation_relevance,A4_state_robustness,A1_weighted,A2_weighted,A3_weighted,A4_weighted,perturbation_score,rank
EGFR_170-200_PKT25,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,low,0.253,0.1163,0.475,0.65,0.0759,0.0291,0.1425,0.0975,0.2668,120
EGFR_170-200_PKT31,EGFR_170-200,173940,uncertain_mechanism_candidate,low,0.253,0.1004,0.475,0.65,0.0759,0.0251,0.1425,0.0975,0.2668,121
EGFR_170-200_PKT31,EGFR_170-200,97806,uncertain_mechanism_candidate,low,0.253,0.1004,0.475,0.65,0.0759,0.0251,0.1425,0.0975,0.2668,122
EGFR_170-200_PKT31,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,low,0.253,0.1004,0.475,0.65,0.0759,0.0251,0.1425,0.0975,0.2668,123
EGFR_170-200_PKT36,EGFR_170-200,173940,uncertain_mechanism_candidate,low,0.253,0.044,0.475,0.65,0.0759,0.011,0.1425,0.0975,0.2668,124
EGFR_170-200_PKT36,EGFR_170-200,97806,uncertain_mechanism_candidate,low,0.253,0.044,0.475,0.65,0.0759,0.011,0.1425,0.0975,0.2668,125
EGFR_170-200_PKT36,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,low,0.253,0.044,0.475,0.65,0.0759,0.011,0.1425,0.0975,0.2668,126
3GT8_raw_PKT22,3GT8_raw,173940,uncertain_mechanism_candidate,low,0.253,0.0242,0.475,0.5667,0.0759,0.006,0.1425,0.085,0.2475,127
3GT8_raw_PKT22,3GT8_raw,97806,uncertain_mechanism_candidate,low,0.253,0.0242,0.475,0.5667,0.0759,0.006,0.1425,0.085,0.2475,128
3GT8_raw_PKT22,3GT8_raw,VAX-C12_0,uncertain_mechanism_candidate,low,0.253,0.0242,0.475,0.5667,0.0759,0.006,0.1425,0.085,0.2475,129
EGFR_160-185_PKT14,EGFR_160-185,173940,uncertain_mechanism_candidate,low,0.253,0.1412,0.475,0.5667,0.0759,0.0353,0.1425,0.085,0.2475,130
